IssuerID,State,Plan_Type,Global_rate_cleaned,Global_score_cleaned,S1_rate,S1_score,S2_rate,S2_score,S3_rate,S3_score,S1M49_den,S1M49_elig,S1M49_rate,S1M49_score,S1M2_den,S1M2_elig,S1M2_rate,S1M2_score,S1M52_den,S1M52_elig,S1M52_rate,S1M52_score,S1M55_den,S1M55_elig,S1M55_rate,S1M55_score,S1M6_den,S1M6_elig,S1M6_rate,S1M6_score,S1M7_den,S1M7_elig,S1M7_rate,S1M7_score,S1M8_den,S1M8_elig,S1M8_rate,S1M8_score,S1M9_den,S1M9_elig,S1M9_rate,S1M9_score,S1M54_den,S1M54_elig,S1M54_rate,S1M54_score,S1M13_den,S1M13_elig,S1M13_rate,S1M13_score,S1M15_den,S1M15_rate,S1M15_score,S1M48_den,S1M48_elig,S1M48_rate,S1M48_score,S1M50_den,S1M50_elig,S1M50_rate,S1M50_score,S1M17_den,S1M17_elig,S1M17_rate,S1M17_score,S1M18_den,S1M18_elig,S1M18_rate,S1M18_score,S1M19_den,S1M19_elig,S1M19_rate,S1M19_score,S1M20_den,S1M20_elig,S1M20_rate,S1M20_score,S1M23_den,S1M23_elig,S1M23_rate,S1M23_score,S1M25_den,S1M25_elig,S1M25_rate,S1M25_score,S1M53_den,S1M53_elig,S1M53_rate,S1M53_score,S1M47_den,S1M47_elig,S1M47_rate,S1M47_score,S1M30_den,S1M30_elig,S1M30_rate,S1M30_score,S1M31_den,S1M31_elig,S1M31_rate,S1M31_score,S1M51_den,S1M51_elig,S1M51_rate,S1M51_score,S2M33_den,S2M33_elig,S2M33_rate,S2M33_score,S2M34_den,S2M34_elig,S2M34_rate,S2M34_score,S2M36_den,S2M36_elig,S2M36_rate,S2M36_score,S2M37_den,S2M37_elig,S2M37_rate,S2M37_score,S2M38_den,S2M38_elig,S2M38_rate,S2M38_score,S3M40_den,S3M40_elig,S3M40_rate,S3M40_score,S3M41_den,S3M41_elig,S3M41_rate,S3M41_score,S3M42_den,S3M42_elig,S3M42_rate,S3M42_score,S3M43_den,S3M43_elig,S3M43_rate,S3M43_score,S3M44_den,S3M44_elig,S3M44_rate,S3M44_score,S3M45_den,S3M45_elig,S3M45_rate,S3M45_score
40788,TX,HMO,3,70.211,2,68.331,CSR-I,CSR-I,3,77.733,167,167,0.8443114,91.277,721,721,0.610957,79.037,458,458,0.2751092,41.246,741,741,0.2118759,55.465,411,7404,0.5498783,70.952,14412,14412,0.7082293,85.742,13902,13902,0.719249,84.917,411,8638,0.3357664,47.898,8776,8776,0.5911577,82.334,8617,8617,0.7586167,94.591,978,0.7408341,50.034,109,109,0.4862385,58.372,515,515,0.392233,77.324,411,41410,0.3260341,43.704,411,8665,0.5474453,76.566,411,690,0.7250608,78.216,411,690,0.7785888,81.188,1720,1720,0.4034884,61.98,22,22,0.4848485,NC,186,191,0.3387097,53.849,190,193,0.2631579,49.466,411,5231,0.4841849,54.464,257,257,0.8171206,91.708,11719,11719,0.4192337,61.291,83,1294,66.726894,NC,72,1294,81.7308099,NC,66,1294,85.8469965,NC,70,1294,89.7676748,NC,47,1294,86.4279796,NC,2805,2805,0.7811052,86.025,652,652,0.4233129,69.282,1762,1762,0.683882,77.891,86,1294,50.3280819,NC,73,1294,73.6377241,NC,88,1294,80.3216449,NC
41046,NY,HMO,4,82.185,4,81.155,4,89.46,3,79.034,94,94,0.7978723,86.256,110,110,0.6363636,82.324,39,39,0.5897436,88.417,114,114,0.2192983,57.408,411,1508,0.6350365,81.94,1711,1711,0.7580362,91.772,2631,2631,0.7217788,85.216,411,913,0.4136253,59.005,911,911,0.3611416,50.298,943,943,0.6892895,85.946,233,0.0942374,110,16,16,0.5,NC,65,65,0.3538462,82.208,411,6556,0.7177616,96.215,411,5355,0.6277372,87.795,138,138,0.7753623,83.642,138,138,0.8478261,88.407,324,324,0.6296296,96.717,18,18,0.5370371,NC,47,47,0.4680851,74.417,77,77,0.1038961,19.529,411,974,0.7826439,88.036,65,65,0.8,89.787,1743,1743,0.6844521,100.066,179,1668,66.0262983,84.926,146,1668,81.8372992,92.997,152,1668,70.0377433,81.582,138,1668,85.2625861,92.992,116,1668,84.4952542,94.804,1024,1024,0.8291016,91.311,176,176,0.4886364,79.973,226,226,0.7610619,86.681,171,1668,43.7191885,71.737,146,1668,57.9329696,74.105,185,1668,56.7295257,70.399
41047,OH,HMO,3,78.343,3,74.29,5,94.924,3,77.972,330,330,0.6727273,72.727,715,715,0.6958042,90.013,397,397,0.3463477,51.926,1151,1151,0.3405735,89.155,411,6580,0.7274939,93.87,8109,8109,0.7436182,90.026,6640,6640,0.714006,84.298,411,4513,0.3990268,56.923,4519,4519,0.4224386,58.835,4124,4124,0.7599418,94.756,1244,0.6366527,71.123,171,171,0.6549708,78.628,242,242,0.3636364,80.962,411,20285,0.4549878,60.99,411,15010,0.5717762,79.969,411,442,0.756691,81.628,411,442,0.8199513,85.501,840,840,0.4333333,66.564,21,21,0.5238095,NC,153,153,0.3333333,52.994,135,135,0.2222222,41.771,411,2382,0.6236821,70.155,219,219,0.7945206,89.172,4827,4827,0.456184,66.694,127,1680,69.501963,89.396,111,1680,85.881461,97.593,104,1680,81.1005091,94.468,102,1680,90.0740229,98.24,74,1680,86.7003815,NC,2227,2227,0.7413561,81.647,672,672,0.4107143,67.22,1064,1064,0.6729323,76.644,121,1680,48.2112663,79.107,97,1680,60.9577243,NC,136,1680,68.6913713,85.243
41094,NV,HMO,4,89.083,5,90.202,5,91.069,4,82.623,9,9,0.8888889,NC,23,23,0.8043478,NC,5,5,0.8,NC,20,20,0.075,NC,143,143,0.7832168,101.06,196,196,0.8367347,101.3,240,240,0.8416667,99.37,100,101,0.64,91.298,100,100,0.65,90.529,99,99,0.8787879,109.575,19,0.5664599,NC,4,4,0.5,NC,30,30,0.2333333,97.54,676,676,0.397929,53.342,342,476,0.7222222,101.01,17,17,1,NC,17,17,0.9411765,NC,41,41,0.4634146,71.185,8,8,0.5416667,NC,10,10,0.4,NC,13,13,0.3076923,NC,181,181,0.7605893,85.556,16,16,0.875,NC,290,290,0.5517241,80.661,139,945,67.8895716,87.322,122,945,81.3739319,92.47,127,945,76.1389749,88.688,113,945,87.8313143,95.794,95,945,86.8999107,NC,71,71,0.915493,100.825,6,6,0.8333333,NC,21,21,0.6666667,NC,130,945,40.8667845,67.056,113,945,66.0248448,84.456,148,945,62.979863,78.155
41304,MA,HMO,5,93.323,5,92.95,5,98.462,4,89.676,145,145,0.8275862,89.469,211,211,0.7606635,98.404,56,56,0.6428572,96.38,203,203,0.2339902,61.254,371,1463,0.7439353,95.992,1966,1966,0.8550356,103.515,2286,2286,0.8372703,98.851,380,808,0.6473684,92.349,818,818,0.4743276,66.062,923,923,0.7811484,97.4,374,0.7900948,40.062,40,40,0.725,87.035,70,70,0.4142857,74.518,288,5042,0.7395833,99.14,342,4280,0.7923977,110,97,98,0.9484536,102.314,97,98,0.9793814,102.125,230,230,0.7347826,110,18,19,0.7472265,NC,35,35,0.7142857,110,37,37,0.5405405,101.605,288,636,0.8240741,92.697,58,58,0.8793103,98.688,1032,1032,0.7848837,110,162,1490,72.416493,93.145,137,1490,87.3740806,99.289,143,1490,85.2798097,99.336,122,1490,91.8255123,100.15,100,1490,89.4716072,100.388,537,537,0.8472998,93.315,86,86,0.5581395,91.349,354,354,0.7372881,83.974,138,1490,50.9089535,83.534,125,1490,70.125847,89.701,164,1490,77.5072865,96.183
41842,DC,EPO,4,82.768,3,79.676,CSR-I,CSR-I,5,95.14,5,5,0.8,NC,32,32,0.71875,92.982,5,5,0.2,NC,11,11,0.5909091,NC,86,86,0.5697674,73.518,122,122,0.7131148,86.334,110,110,0.6909091,81.571,44,44,0.4090909,58.358,44,44,0.4545455,63.307,55,55,0.7818182,97.484,14,0.5846244,NC,0,0,NR,NC,1,1,0,NC,380,539,0.6552632,87.837,244,244,0.5286885,73.942,23,23,0.6521739,NC,23,23,0.5217391,NC,31,31,0.483871,74.327,4,4,0.25,NC,15,15,0.2,NC,13,13,0.1538462,NC,164,164,0.6422764,72.247,26,26,0.8846154,NC,239,239,0.6443515,94.203,63,1001,73.1470803,NC,52,1001,88.3904479,NC,59,1001,78.1070617,NC,46,1001,87.4341637,NC,37,1001,86.567421,NC,138,138,0.9057971,99.757,31,31,0.5483871,89.752,38,38,0.8421053,95.912,60,1001,49.0571231,NC,40,1001,63.2528752,NC,64,1001,69.4158594,NC
41842,DC,POS,4,86.813,4,86.523,CSR-I,CSR-I,4,87.972,55,55,0.8,86.486,127,127,0.7125985,92.186,16,16,0.5625,NC,67,67,0.4104478,107.447,388,414,0.6134021,79.149,498,498,0.7791165,94.324,607,607,0.7446458,87.916,259,261,0.5096525,72.704,268,268,0.5,69.638,250,250,0.724,90.274,84,1.0670334,NC,4,4,0.5,NC,9,9,0.3333333,NC,354,2475,0.6836158,91.638,409,1397,0.599022,83.779,101,101,0.9009901,97.194,101,101,0.8514851,88.789,156,156,0.4807692,73.851,8,9,0.4166667,NC,82,82,0.6219512,98.879,71,71,0.2816901,52.949,360,923,0.6648148,74.782,137,137,0.8686131,97.487,1282,1282,0.7145086,104.46,97,1429,68.6846602,NC,79,1429,79.3217106,NC,89,1429,80.2675396,NC,69,1429,87.5356771,NC,66,1429,85.7222451,NC,731,731,0.872777,96.121,125,125,0.536,87.725,150,150,0.7066667,80.486,95,1429,44.6713504,NC,71,1429,59.1149002,NC,101,1429,70.5555798,87.556
41921,VA,EPO,3,77.660,3,74.854,4,87.973,3,78.574,182,182,0.9285714,100.386,514,514,0.655642,84.818,155,155,0.3903226,58.519,512,512,0.2753906,72.092,392,5255,0.6632653,85.583,6034,6034,0.7217435,87.378,6850,6850,0.7150365,84.42,411,3659,0.3454988,49.287,3715,3715,0.5265141,73.331,3329,3329,0.7236407,90.23,695,0.709191,56.439,67,67,0.4925373,59.128,178,178,0.4775281,66.472,403,17192,0.5136476,68.854,411,14302,0.5158151,72.142,271,275,0.797048,85.981,271,275,0.8191882,85.421,823,823,0.436209,67.006,40,40,0.3771367,53.877,137,137,0.4817518,76.59,189,189,0.3227513,60.668,321,2802,0.7798546,87.723,211,211,0.8436019,94.68,5734,5734,0.516219,75.471,139,1658,64.6374982,83.139,106,1658,83.7993818,95.227,113,1658,73.4469299,85.553,97,1658,85.9206401,NC,74,1658,84.9855179,NC,2241,2241,0.7380634,81.285,526,526,0.4562738,74.677,932,932,0.6427039,73.201,146,1658,46.9869095,77.098,129,1658,64.7831994,82.867,147,1658,66.3319817,82.315
42261,UT,EPO,4,83.433,3,79.959,5,93.513,4,87.25,73,73,0.7123288,77.009,124,124,0.6129033,79.289,34,34,0.7058824,105.829,97,97,0.2113402,55.325,305,528,0.7737705,99.841,678,678,0.6814159,82.496,672,672,0.7068452,83.453,396,397,0.520202,74.209,388,388,0.4664948,64.971,342,342,0.6871345,85.678,177,0.5416558,90.353,23,23,0.826087,NC,67,67,0.4179104,74.057,398,2332,0.6005025,80.496,398,1788,0.5929648,82.932,69,69,0.826087,89.114,69,69,0.9130435,95.208,150,150,0.32,49.155,29,30,0.5570608,NC,44,44,0.6136364,97.557,65,65,0.3076923,57.837,384,815,0.7100694,79.873,80,80,0.7625,85.578,1391,1391,0.4708843,68.843,171,1607,68.7188575,88.389,146,1607,79.2221441,90.025,149,1607,82.7049018,96.337,132,1607,87.3356498,95.253,109,1607,86.9510029,97.56,448,448,0.9129464,100.545,57,57,0.4912281,80.397,119,119,0.6554622,74.654,157,1607,49.4273185,81.103,138,1607,74.4886058,95.282,183,1607,73.7505082,91.521
42326,SC,HMO,2,69.225,2,68.367,CSR-I,CSR-I,3,72.66,144,144,0.7708333,83.333,277,277,0.4981949,64.45,99,99,0.3232324,48.461,398,398,0.2927136,76.627,411,3173,0.6326034,81.626,3654,3654,0.5856596,70.903,3504,3504,0.5722032,67.556,411,2005,0.3454988,49.287,1996,1996,0.3597194,50.1,1807,1807,0.6397344,79.767,552,0.7268932,52.856,35,35,0.5428571,65.169,258,258,0.4767442,66.572,411,6849,0.3941606,52.837,411,4203,0.4501217,62.954,95,95,0.7684211,82.893,95,95,0.7473684,77.932,285,285,0.5403509,83.003,44,45,0.6515151,93.074,17,17,0.1764706,NC,28,28,0.2857143,NC,306,306,0.6590414,74.133,27,27,0.7407407,NC,807,807,0.3568773,52.175,92,1292,67.6585593,NC,79,1292,78.7862795,NC,74,1292,80.592303,NC,73,1292,87.2991657,NC,50,1292,85.7976564,NC,1389,1389,0.7134629,78.575,459,459,0.3681917,60.261,449,449,0.6948775,79.143,88,1292,56.6563707,NC,79,1292,68.5301574,NC,93,1292,78.1135714,NC
